iter,cpu_seconds,relative_gap
0.000000000000000000e+00,0.000000000000000000e+00,8.264219758451080144e-01
1.000000000000000000e+00,1.376932583982124925e+00,1.512399214042514650e-02
2.000000000000000000e+00,2.690757583972299471e+00,2.037940563488604973e-03
3.000000000000000000e+00,4.058702333975816146e+00,3.780291817608860683e-04
4.000000000000000000e+00,6.066079125972464681e+00,1.225086149932996804e-04
5.000000000000000000e+00,1.008157158497488126e+01,3.608841213087465860e-05
6.000000000000000000e+00,1.404900200097472407e+01,1.819798372315606372e-05
7.000000000000000000e+00,1.771230100098182447e+01,4.126651719227325543e-07
8.000000000000000000e+00,2.446775787600199692e+01,1.512939273862201617e-08
9.000000000000000000e+00,3.322558762598782778e+01,5.923272983210381426e-11
