iter,cpu_seconds,relative_gap
0.000000000000000000e+00,0.000000000000000000e+00,8.264219758451080144e-01
1.000000000000000000e+00,1.317121208994649351e+00,2.120197526545120059e-02
2.000000000000000000e+00,2.334650709002744406e+00,7.140370614974411723e-03
3.000000000000000000e+00,3.064346417988417670e+00,3.038034312495385691e-03
4.000000000000000000e+00,3.759434334002435207e+00,1.873525925203400888e-03
5.000000000000000000e+00,4.382058833987684920e+00,1.278162792907822087e-03
6.000000000000000000e+00,4.991363250999711454e+00,9.802577825487324148e-04
7.000000000000000000e+00,5.583723460003966466e+00,6.865621764473583966e-04
8.000000000000000000e+00,6.201486625999677926e+00,4.709965826984463533e-04
9.000000000000000000e+00,6.847103042993694544e+00,3.529350669113640038e-04
1.000000000000000000e+01,7.460841543012065813e+00,2.635150490014614988e-04
1.100000000000000000e+01,8.076343084016116336e+00,1.993295272976203236e-04
1.200000000000000000e+01,8.714650542009621859e+00,1.458392757105464455e-04
1.300000000000000000e+01,9.340434667014051229e+00,9.934955592594274520e-05
1.400000000000000000e+01,9.959070042008534074e+00,8.439477471322565094e-05
1.500000000000000000e+01,1.057379766702069901e+01,6.807801028674287380e-05
1.600000000000000000e+01,1.120450741701642983e+01,4.858034865229399202e-05
1.700000000000000000e+01,1.182572845902177505e+01,3.193161752368389728e-05
1.800000000000000000e+01,1.244777320901630446e+01,1.785346491067762997e-05
1.900000000000000000e+01,1.307279454203671776e+01,1.336783925665052664e-05
2.000000000000000000e+01,1.370218595804180950e+01,1.181985829656895248e-05
2.100000000000000000e+01,1.434384525005589239e+01,1.129045189407484884e-05
2.200000000000000000e+01,1.497549645806429908e+01,1.003778271446709169e-05
2.300000000000000000e+01,1.561294320807792246e+01,9.220956897260101925e-06
2.400000000000000000e+01,1.628554008307401091e+01,8.237534582011818429e-06
2.500000000000000000e+01,1.692748733307234943e+01,7.719605109257621223e-06
2.600000000000000000e+01,1.757514449907466769e+01,7.100430801321166996e-06
2.700000000000000000e+01,1.822625541608431377e+01,6.527399424083313306e-06
2.800000000000000000e+01,1.887296420810162090e+01,5.873950830626029074e-06
2.900000000000000000e+01,1.952144345809938386e+01,5.285600357174402575e-06
3.000000000000000000e+01,2.017494849910144694e+01,4.910901895915920079e-06
3.100000000000000000e+01,2.081246670710970648e+01,4.583107059863422705e-06
3.200000000000000000e+01,2.144822137412847951e+01,4.185276239909718754e-06
3.300000000000000000e+01,2.208268974913517013e+01,3.868409385709981052e-06
3.400000000000000000e+01,2.271692970811272971e+01,3.523128940030595402e-06
3.500000000000000000e+01,2.335575200011953712e+01,3.296264205698840044e-06
3.600000000000000000e+01,2.399525454212562181e+01,3.118422530645759139e-06
3.700000000000000000e+01,2.463174566713860258e+01,2.792902295767341059e-06
3.800000000000000000e+01,2.527384158314089291e+01,2.589682087661415721e-06
3.900000000000000000e+01,2.591985891616786830e+01,2.380617001862539439e-06
4.000000000000000000e+01,2.656513437416288070e+01,2.204681283868303865e-06
