iter,cpu_seconds,relative_gap
0.000000000000000000e+00,0.000000000000000000e+00,8.264219758451080144e-01
1.000000000000000000e+00,1.765145709010539576e+00,2.046434053022583299e-02
2.000000000000000000e+00,3.397557501011760905e+00,3.561572162856574408e-03
3.000000000000000000e+00,4.775710084009915590e+00,8.076763485199700554e-04
4.000000000000000000e+00,6.114951750001637265e+00,2.488177146502401627e-04
5.000000000000000000e+00,7.670455083018168807e+00,8.451812146137438475e-05
6.000000000000000000e+00,9.466256708023138344e+00,1.863263596013631229e-05
7.000000000000000000e+00,1.147621925003477372e+01,1.366987065321012551e-06
8.000000000000000000e+00,1.578213325003162026e+01,7.397989443269636922e-08
9.000000000000000000e+00,2.253224387502996251e+01,2.589204628478114500e-09
1.000000000000000000e+01,2.826440941702458076e+01,2.337074977987185775e-11
1.100000000000000000e+01,3.254646558302920312e+01,8.149037000748649007e-14
