iter,cpu_seconds,relative_gap
0.000000000000000000e+00,0.000000000000000000e+00,8.264219758451080144e-01
1.000000000000000000e+00,1.429727500013541430e+00,2.186284399547122614e-02
2.000000000000000000e+00,2.865779999992810190e+00,6.890710180150194653e-03
3.000000000000000000e+00,4.047247666982002556e+00,2.295789297948602758e-03
4.000000000000000000e+00,5.085552625969285145e+00,1.061091297793859134e-03
5.000000000000000000e+00,6.054353250976419076e+00,4.507456513060947856e-04
6.000000000000000000e+00,7.106801833986537531e+00,3.100828939356370384e-04
7.000000000000000000e+00,8.067583667987491935e+00,2.151141692023905705e-04
8.000000000000000000e+00,9.013390792970312759e+00,1.285387984488739477e-04
9.000000000000000000e+00,9.950316709961043671e+00,9.418967624930107974e-05
1.000000000000000000e+01,1.086833625196595676e+01,4.925300528024756375e-05
1.100000000000000000e+01,1.187396950196125545e+01,3.286994350848448931e-05
1.200000000000000000e+01,1.300822487697587349e+01,2.320810537881357050e-05
1.300000000000000000e+01,1.400300133496057242e+01,1.688647698849798928e-05
1.400000000000000000e+01,1.497224116796860471e+01,1.322457081531780432e-05
1.500000000000000000e+01,1.598880958496010862e+01,1.025689066558310714e-05
1.600000000000000000e+01,1.714316454395884648e+01,8.908311678768043862e-06
1.700000000000000000e+01,1.819817062796209939e+01,7.050627369054041083e-06
1.800000000000000000e+01,1.920883887793752365e+01,5.873291060276564224e-06
1.900000000000000000e+01,2.016727300293860026e+01,4.831524375914497682e-06
2.000000000000000000e+01,2.114295779395615682e+01,4.052109882524135287e-06
2.100000000000000000e+01,2.212500808492768556e+01,3.455373252192472933e-06
2.200000000000000000e+01,2.306183645993587561e+01,2.956495605332953858e-06
2.300000000000000000e+01,2.408951954293297604e+01,2.585164632695757803e-06
2.400000000000000000e+01,2.517209879294387065e+01,2.305811739544694206e-06
2.500000000000000000e+01,2.621161716795177199e+01,1.747958661590942597e-06
2.600000000000000000e+01,2.731820704296114855e+01,1.418497826422004948e-06
2.700000000000000000e+01,2.832291704296949320e+01,1.250315715184413534e-06
2.800000000000000000e+01,2.941258820897201076e+01,1.112648118972714428e-06
2.900000000000000000e+01,3.044236316697788425e+01,7.755502884343457026e-07
3.000000000000000000e+01,3.148019470897270367e+01,6.081843864080838102e-07
3.100000000000000000e+01,3.251565970896626823e+01,5.224521174573837357e-07
3.200000000000000000e+01,3.350986762595130131e+01,4.644015093591136178e-07
3.300000000000000000e+01,3.446830616795341484e+01,4.230368161328712517e-07
3.400000000000000000e+01,3.542683320996002294e+01,3.875785253848462730e-07
3.500000000000000000e+01,3.638624683496891521e+01,3.565426549556605096e-07
3.600000000000000000e+01,3.739422175099025480e+01,3.282436529250531976e-07
3.700000000000000000e+01,3.841263795900158584e+01,3.050396361059526384e-07
3.800000000000000000e+01,3.952407662602490745e+01,2.825894898084158058e-07
3.900000000000000000e+01,4.055677975103026256e+01,2.616912028186035855e-07
4.000000000000000000e+01,4.154931666702032089e+01,2.429783324542356127e-07
4.100000000000000000e+01,4.251243400000385009e+01,2.128285884195335598e-07
4.200000000000000000e+01,4.350911858302424662e+01,1.508010317730068550e-07
4.300000000000000000e+01,4.458416650001890957e+01,1.368542802415717574e-07
4.400000000000000000e+01,4.560347550004371442e+01,1.277985461900499331e-07
4.500000000000000000e+01,4.662294879203545861e+01,1.188582066102839008e-07
4.600000000000000000e+01,4.758722404204308987e+01,1.095560900887804223e-07
4.700000000000000000e+01,4.857457604203955270e+01,1.019509294764020524e-07
4.800000000000000000e+01,4.955845470904023387e+01,9.438254500171439076e-08
4.900000000000000000e+01,5.068350437603658065e+01,8.775393667281861099e-08
5.000000000000000000e+01,5.173021633405005559e+01,8.175130683518716523e-08
5.100000000000000000e+01,5.276272620906820521e+01,7.619170072636904933e-08
5.200000000000000000e+01,5.379840695907478221e+01,7.099576848634825410e-08
5.300000000000000000e+01,5.495776262605795637e+01,6.614820602379722914e-08
5.400000000000000000e+01,5.602861691804719158e+01,6.084765946656744973e-08
5.500000000000000000e+01,5.721865083405282348e+01,5.623321852610274618e-08
5.600000000000000000e+01,5.833762108403607272e+01,5.179566353596953832e-08
5.700000000000000000e+01,5.933638691701344214e+01,4.846851231476989597e-08
5.800000000000000000e+01,6.031081008401815780e+01,4.502138450934722869e-08
5.900000000000000000e+01,6.128508420902653597e+01,4.210487103417648314e-08
6.000000000000000000e+01,6.229727325102430768e+01,3.874891996158424945e-08
6.100000000000000000e+01,6.326965250101056881e+01,3.583205954171830854e-08
6.200000000000000000e+01,6.424076666700420901e+01,3.336359455374804384e-08
6.300000000000000000e+01,6.521702237598947249e+01,3.107818269398876510e-08
6.400000000000000000e+01,6.619164429200463928e+01,2.877514282406679058e-08
6.500000000000000000e+01,6.725548004201846197e+01,2.679093413782140942e-08
6.600000000000000000e+01,6.838489895800012164e+01,2.497367357356949924e-08
6.700000000000000000e+01,6.948351808299776167e+01,2.328486692348974429e-08
6.800000000000000000e+01,7.066095895800390281e+01,2.171960933328165311e-08
6.900000000000000000e+01,7.168638333299895748e+01,2.025763545798753285e-08
7.000000000000000000e+01,7.276240470798802562e+01,1.887912604026098506e-08
7.100000000000000000e+01,7.380834741701255552e+01,1.757663636858808331e-08
